conductor,vid_a,vid_b,stage1,stage2,speed,verdict
Mehta,QKzF_A1zXzQ,noZVSgbPtbg,1.0000000718793003,0.9999999555522266,1.0,same
Mehta,ikhuN-LcJKc,leeUj6p5t-c,0.9998951667000092,0.9983993765532531,1.0,same
Bernstein,40vp0Veqglg,rO8MnwcvSVk,0.9914783808236266,0.9750387710138146,1.0,same
Mehta,H9a5K1p0QZE,kSOxBGu2Ms0,0.9841782440610395,0.9696678901792048,1.0,same
Haitink,1KSK4a1YHwg,Tbtenpm8_Wo,0.9833211882522743,0.9375161130776263,1.0,same
Mehta,L4PB-Wh3UxA,leeUj6p5t-c,0.9795478367326047,0.916150426502591,1.0,same
Bernstein,IS8FO6DEwfU,iYgirjU-9UE,0.9617628678396617,0.9247147312444542,1.0,same
Haitink,Rd0HnxWm5CY,aU9vTFk2HFI,0.9481843481142107,0.9275943183432237,1.0,same
Abbado,A6QoP6-bnR8,PLFog5wjYEs,0.9104123742791739,0.8368316492969233,1.0,same
Mehta,nBsl7D9i6aM,w5N4WQOkTX4,0.9079997610387267,0.875478956811252,1.0,same
Mehta,L4PB-Wh3UxA,ikhuN-LcJKc,0.9039456034981287,0.8481473257354645,1.0,same
Mehta,WJpzkMrGLkM,iBYW0H7t8M8,0.8958159500089737,0.8802824071363486,1.0,same
Abbado,4XbHLFkg_Mw,RbLlA4Ee4hU,0.8946271005854209,0.8260653352555831,1.0,same
Bernstein,9KSESLJ0LWA,Bj6KLv7kv2Q,0.8878775935414499,0.7354718310165653,1.0,same
Haitink,Rd0HnxWm5CY,YmNxqMxZoRk,0.8778222330881812,0.7764988395325633,1.0,same
Mehta,FMEL6z9Qir8,kSOxBGu2Ms0,0.8375822008750721,0.7715323364738956,1.0,same
Abbado,6OZ8pngQePI,A6QoP6-bnR8,0.824517090494562,0.6435764254043232,1.0,same
Haitink,CjnbUmbHO9o,pK_X0QuZuZc,0.7671768300123868,0.6514382810642209,1.0,same
Abbado,CHz_O9tSjlk,PLFog5wjYEs,0.7538121479934171,0.5778309352911114,1.0,same
Mehta,L4PB-Wh3UxA,ZaWb14Nn0Ss,0.7332002501395571,0.5486083500030526,1.0,same
Abbado,K1BHmPhZwpY,vOvXhyldUko,0.7322743180156225,0.5704875236344326,1.0,same
Abbado,6OZ8pngQePI,T4Zxjk7eYS4,0.6951132227241767,0.5596001327892475,1.0,same
Mehta,FMEL6z9Qir8,H9a5K1p0QZE,0.6935570853944278,0.5858612024005002,1.0,same
Abbado,P56JLnQrS98,n6feKBSSfUg,0.658078799622763,0.6134485409192183,1.0,same
Bernstein,56qZblncQrs,bXEldU1UC70,0.6121374661997487,0.5577171964448241,1.0,same
Abbado,QydpBLUyx6c,ZyQmdXnv3Pg,,0.90,1.0,same
Abbado,8NdeNCsF2K8,SExR2h20HlQ,,0.97,1.0,same
# 주의: PD9B4qi3mNM(추모 몽타주) 클러스터는 진짜 중복이 아니라 편집물-실공연 오디오 겹침 — 드롭 목록에서 제외(세션 병합은 별도 유지)
